location_id,province,area,locality,latitude,longitude
3100611,Eastern Cape,,Adelaide,-32.5706558,26.3249435
3100612,Eastern Cape,,Alice,-32.7901001,26.8329144
3100610,Eastern Cape,,Aliwal North,-30.9211559,26.8910351
3100613,Eastern Cape,,Barkly East,-30.9198589,27.6434841
3100299,Eastern Cape,,Bhisho,-32.8498764,27.4409561
3100614,Eastern Cape,,Bizana,-30.9361954,29.8352299
3100615,Eastern Cape,,Burgersdorp,-30.8922863,25.8521767
3100616,Eastern Cape,,Butterworth,-32.1774788,28.0186081
3100474,Eastern Cape,,Coffee Bay,-31.9849033,29.1492405
3100470,Eastern Cape,,Cradock,-31.9317036,25.3785725
3100697,Eastern Cape,,Despatch,-33.8004837,25.4621277
3100300,Eastern Cape,,East London,-32.9344406,27.6434841
3100617,Eastern Cape,,Elliot,-31.3828259,27.8311424
3100618,Eastern Cape,,Flagstaff,-31.2632294,29.6962681
3100619,Eastern Cape,,Fort Beaufort,-32.7663345,26.6199589
3100620,Eastern Cape,,Graaff-Reinet,-32.2346344,24.3341427
3100471,Eastern Cape,,Grahamstown,-33.2415352,26.3249435
3100698,Eastern Cape,,Hogsback,-32.5951729,26.9322548
3100621,Eastern Cape,,Jansenville,-32.9404068,24.6192894
3100301,Eastern Cape,,Jeffreys Bay,-34.0506706,24.9101543
3100622,Eastern Cape,,Kareedouw,-33.9620056,24.2925415
3100700,Eastern Cape,,King WilliamsTown,-32.8938103,27.4203968
3100623,Eastern Cape,,Kirkwood,-33.4105911,25.5681076
3100699,Eastern Cape,,Matatiele,-30.3621101,28.8014126
3100302,Eastern Cape,,Mdantsane,-32.9459648,27.7256088
3100624,Eastern Cape,,Middelburg,-31.4951134,25.0060673
3100604,Eastern Cape,,Other Eastern Cape,-32.9845886,22.7748604
3100625,Eastern Cape,,Port Alfred,-33.5192795,26.7496452
3100306,Eastern Cape,,Port Elizabeth,-33.7452431,25.5681076
3100475,Eastern Cape,,Port St Johns,-31.6287518,29.536871
3100303,Eastern Cape,,Queenstown,-32.1058388,26.8910351
3100626,Eastern Cape,,Somerset East,-33.0113678,25.4733562
3100696,Eastern Cape,,St Francis Bay,-34.1605377,24.8241062
3100627,Eastern Cape,,Stutterheim,-32.5885124,27.4321461
3100472,Eastern Cape,,Uitenhage,-33.7687187,25.4141197
3100473,Eastern Cape,,Umtata / Mthatha,-31.6066837,28.7780991
3100628,Eastern Cape,,Willowmore,-33.3967934,24.0488014
3100476,Eastern Cape,,Willowvale,-32.2631493,28.5039139
3100456,Free State,,Bethlehem,-28.4052696,28.2058773
3100460,Free State,,Bloemfontein,-29.1585674,26.3249435
3100629,Free State,,Botshabelo,-29.2672729,26.7260704
3100630,Free State,,Brandfort,-28.6882954,26.4547958
3100695,Free State,,Bultfontein,-28.2750454,26.1477604
3100631,Free State,,Clocolan,-28.9093361,27.5554543
3100632,Free State,,Deneysville,-26.8988037,28.083004
3100703,Free State,,Ficksburg,-28.8777885,27.8663082
3100633,Free State,,Frankfort,-27.2912731,28.5797977
3100457,Free State,,Harrismith,-28.2749996,29.1041698
3100634,Free State,,Heilbron,-27.2819786,27.9834747
3100635,Free State,,Hennenman,-27.9783916,27.0264454
3100636,Free State,,Hoopstad,-28.0223255,25.9468002
3100637,Free State,,Koffiefontein,-29.3245831,25.0940456
3100638,Free State,,Koppies,-27.2290955,27.5877361
3100464,Free State,,Kroonstad,-27.7487984,27.2676125
3100639,Free State,,Ladybrand,-29.1282883,27.2676125
3100704,Free State,,Memel,-27.6564598,29.5397701
3100606,Free State,,Other Free State,-27.1925621,25.0562878
3100465,Free State,,Parys,-27.3890362,27.7373371
3100640,Free State,,Phuthaditjhaba,-28.5530281,28.8247223
3100641,Free State,,Reitz,-27.800909,28.4318314
3100466,Free State,,Sasolburg,-26.810133,27.8277874
3100458,Free State,,Senekal,-28.5301762,27.6434841
3100461,Free State,,Springfontein,-30.2557755,25.6924248
3100462,Free State,,Thaba 'Nchu,-29.2039585,26.8203506
3100642,Free State,,Theunissen,-28.6668701,26.6081657
3100643,Free State,,Viljoenskroon,-26.9751205,26.7614307
3100468,Free State,,Virginia,-28.1063862,26.8556957
3100644,Free State,,Vrede,-27.7437859,29.2320786
3100645,Free State,,Vredefort,-27.0007877,27.3733997
3100469,Free State,,Welkom,-28.0015221,26.8910351
3100646,Free State,,Wesselsbron,-27.8337288,26.3662682
3100647,Free State,,Winburg,-28.5170078,27.0087872
3100368,Gauteng,East Rand,Alberton,-26.3223934,28.1239719
3100369,Gauteng,East Rand,Bedfordview,-26.17169,28.1327496
3100370,Gauteng,East Rand,Benoni,-26.1510849,28.3695698
3100371,Gauteng,East Rand,Boksburg,-26.2325897,28.2409668
3100372,Gauteng,East Rand,Brakpan,-26.2908115,28.3228168
3100373,Gauteng,East Rand,Edenvale,-26.1326275,28.17663
3100374,Gauteng,East Rand,Germiston,-26.2258739,28.1707802
3100375,Gauteng,East Rand,Kempton Park,-26.094408,28.2292709
3100564,Gauteng,East Rand,Other,-26.0203152,28.3390884
3100376,Gauteng,East Rand,Springs,-26.260725,28.4630375
3100377,Gauteng,East Rand,Tembisa,-26.0092831,28.2181206
3100334,Gauteng,Johannesburg,Alexandra,-26.103302,28.0976372
3100753,Gauteng,Johannesburg,Bram Fischerville,-26.1939411,27.8565121
3100335,Gauteng,Johannesburg,Bryanston,-26.0563984,28.0244637
3100336,Gauteng,Johannesburg,Constantia Kloof,-26.1445122,27.9102135
3100747,Gauteng,Johannesburg,Cosmo City,-26.0212631,27.9289989
3100337,Gauteng,Johannesburg,Diepkloof,-26.2429276,27.9497166
3100338,Gauteng,Johannesburg,Diepsloot,-25.9395981,28.0127525
3100339,Gauteng,Johannesburg,Dobsonville,-26.223362,27.8487263
3100340,Gauteng,Johannesburg,Douglasdale,-26.0395813,27.9947853
3100341,Gauteng,Johannesburg,Emmarentia,-26.165144,28.0098248
3100342,Gauteng,Johannesburg,Ennerdale,-26.4101353,27.8370037
3100754,Gauteng,Johannesburg,Fairland,-26.1365547,27.9395447
3100343,Gauteng,Johannesburg,Fourways,-26.0254688,28.0039692
3100344,Gauteng,Johannesburg,Greenside,-26.1530743,28.0156803
3100749,Gauteng,Johannesburg,Highlands North,-26.1426373,28.0844688
3100751,Gauteng,Johannesburg,Illovo,-26.1279793,28.0496635
3100105,Gauteng,Johannesburg,Inner City / CBD&Bruma,-26.2016315,28.04533
3100345,Gauteng,Johannesburg,Ivory Park,-25.9956608,28.1971035
3100346,Gauteng,Johannesburg,Johannesburg CBD,-26.2041035,28.0473042
3100103,Gauteng,Johannesburg,Johannesburg South,-26.2738667,27.9951859
3100347,Gauteng,Johannesburg,Katlehong,-26.312088,28.1560783
3100759,Gauteng,Johannesburg,Kensington,-26.1954784,28.0966854
3100348,Gauteng,Johannesburg,Lanseria,-25.9400177,27.9263649
3100349,Gauteng,Johannesburg,Lenasia,-26.3335171,27.8663082
3100350,Gauteng,Johannesburg,Meadowlands,-26.2026196,27.8765621
3100351,Gauteng,Johannesburg,Melville,-26.1749325,28.0083618
3100353,Gauteng,Johannesburg,Midrand,-25.9991798,28.1262932
3100750,Gauteng,Johannesburg,North Riding,-26.0523205,27.961586
3100355,Gauteng,Johannesburg,Northcliff,-26.1478996,27.9629745
3100354,Gauteng,Johannesburg,Northgate,-26.0575466,27.9522419
3100562,Gauteng,Johannesburg,Other,-26.0408077,28.0148201
3100748,Gauteng,Johannesburg,Parkhurst,-26.1368198,28.0156803
3100359,Gauteng,Johannesburg,Parktown,-26.180645,28.0391006
3100360,Gauteng,Johannesburg,Protea Glen,-26.277401,27.8138657
3100106,Gauteng,Johannesburg,Randburg,-26.1438408,27.9951859
3100752,Gauteng,Johannesburg,Randpark Ridge,-26.1041489,27.9466991
3100107,Gauteng,Johannesburg,Roodepoort,-26.1201363,27.9014645
3100356,Gauteng,Johannesburg,Rosebank,-26.1437702,28.0405655
